:ID,:LABEL,mof_id,pfas_mof_id,MOF name,PFA name,Adsorption capacity (mg/g),Removal efficiency (%),Langmuir KL (L/mg),Isotherm model,DOI,has_capacity,has_removal,data_complete,article_id,Freundlich KF,Kd (L/g),Equilibrium time (h),pfas_id
EXP_0001,Adsorption,MOF_001,PFAS_MOF_002,PCN-1001,PFOA,174.0,,,Langmuir,10.1002/adma.202407194,True,False,True,ART_001,,,,PFAS_156
EXP_0002,Adsorption,MOF_002,PFAS_MOF_002,PCN-1002,PFOA,1089.0,,,Langmuir,10.1002/adma.202407194,True,False,True,ART_001,,,,PFAS_156
EXP_0003,Adsorption,MOF_002,PFAS_MOF_001,PCN-1002,PFBS,,,,,10.1002/adma.202407194,False,False,False,ART_001,,,,PFAS_098
EXP_0004,Adsorption,MOF_002,PFAS_MOF_005,PCN-1002,PFDA,,,,,10.1002/adma.202407194,False,False,False,ART_001,,,,PFAS_052
EXP_0005,Adsorption,MOF_003,PFAS_MOF_002,PCN-94,PFOA,,,,,10.1002/adma.202407194,False,False,False,ART_001,,,,PFAS_156
EXP_0006,Adsorption,MOF_003,PFAS_MOF_005,PCN-94,PFDA,,,,,10.1002/adma.202407194,False,False,False,ART_001,,,,PFAS_052
EXP_0007,Adsorption,MOF_004,PFAS_MOF_002,UiO-66,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0008,Adsorption,MOF_004,PFAS_MOF_007,UiO-66,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0009,Adsorption,MOF_004,PFAS_MOF_019,UiO-66,GenX,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_076
EXP_0010,Adsorption,MOF_005,PFAS_MOF_002,UiO-66-(F)4,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0011,Adsorption,MOF_005,PFAS_MOF_007,UiO-66-(F)4,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0012,Adsorption,MOF_005,PFAS_MOF_019,UiO-66-(F)4,GenX,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_076
EXP_0013,Adsorption,MOF_006,PFAS_MOF_002,UiO-66-(F)4-OS,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0014,Adsorption,MOF_006,PFAS_MOF_007,UiO-66-(F)4-OS,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0015,Adsorption,MOF_006,PFAS_MOF_019,UiO-66-(F)4-OS,GenX,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_076
EXP_0016,Adsorption,MOF_007,PFAS_MOF_002,UiO-66-NH2,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0017,Adsorption,MOF_007,PFAS_MOF_007,UiO-66-NH2,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0018,Adsorption,MOF_008,PFAS_MOF_002,UiO-66-NO2,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0019,Adsorption,MOF_008,PFAS_MOF_007,UiO-66-NO2,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0020,Adsorption,MOF_009,PFAS_MOF_002,UiO-66-OS,PFOA,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_156
EXP_0021,Adsorption,MOF_009,PFAS_MOF_007,UiO-66-OS,PFOS,,,,,10.1002/adma.202413120,False,False,False,ART_002,,,,PFAS_054
EXP_0022,Adsorption,MOF_004,PFAS_MOF_002,UiO-66,PFOA,,,,,10.1002/admi.202500166,False,False,False,ART_003,,,,PFAS_156
EXP_0023,Adsorption,MOF_010,PFAS_MOF_007,ZIF-67,PFOS,243.9,,,Langmuir,10.1016/j.cattod.2019.12.036,True,False,True,ART_004,,,,PFAS_054
EXP_0024,Adsorption,MOF_011,PFAS_MOF_007,ZIF-8,PFOS,300.0,99.0,,Langmuir,10.1016/j.cattod.2019.12.036,True,True,True,ART_004,,,0.5,PFAS_054
EXP_0025,Adsorption,MOF_012,PFAS_MOF_016,CAT-ZIF-8,PFAS (general),,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_MOF_016
EXP_0026,Adsorption,MOF_013,PFAS_MOF_002,Fe-BTC,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0027,Adsorption,MOF_014,PFAS_MOF_002,MIL-100(Fe),PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0028,Adsorption,MOF_015,PFAS_MOF_016,MIL-101(Cr),PFAS (general),,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_MOF_016
EXP_0029,Adsorption,MOF_015,PFAS_MOF_007,MIL-101(Cr),PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0030,Adsorption,MOF_016,PFAS_MOF_002,MIL-101(Cr) anion-exchange,PFOA,782.5923,,,,10.1016/j.cej.2022.139202,True,False,True,ART_005,,,,PFAS_156
EXP_0031,Adsorption,MOF_017,PFAS_MOF_002,MIL-101(Fe),PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0032,Adsorption,MOF_017,PFAS_MOF_007,MIL-101(Fe),PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0033,Adsorption,MOF_018,PFAS_MOF_002,MIL-125-NH2,PFOA,42.0,,,,10.1016/j.cej.2022.139202,True,False,True,ART_005,,,,PFAS_156
EXP_0034,Adsorption,MOF_018,PFAS_MOF_007,MIL-125-NH2,PFOS,17.0,,,,10.1016/j.cej.2022.139202,True,False,True,ART_005,,,,PFAS_054
EXP_0035,Adsorption,MOF_019,PFAS_MOF_002,MIL-53(Al),PFOA,169.0,,,,10.1016/j.cej.2022.139202,True,False,True,ART_005,,,,PFAS_156
EXP_0036,Adsorption,MOF_019,PFAS_MOF_007,MIL-53(Al),PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0037,Adsorption,MOF_020,PFAS_MOF_007,MIL-53(Fe),PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0038,Adsorption,MOF_021,PFAS_MOF_002,MIL-96,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0039,Adsorption,MOF_022,PFAS_MOF_001,NU-1000,PFBS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_098
EXP_0040,Adsorption,MOF_023,PFAS_MOF_007,SCU-8,PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0041,Adsorption,MOF_004,PFAS_MOF_007,UiO-66,PFOS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_054
EXP_0042,Adsorption,MOF_004,PFAS_MOF_001,UiO-66,PFBS,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_098
EXP_0043,Adsorption,MOF_004,PFAS_MOF_002,UiO-66,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0044,Adsorption,MOF_024,PFAS_MOF_016,UiO-66-(F4),PFAS (general),,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_MOF_016
EXP_0045,Adsorption,MOF_025,PFAS_MOF_002,ZIF-7,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0046,Adsorption,MOF_011,PFAS_MOF_002,ZIF-8,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0047,Adsorption,MOF_026,PFAS_MOF_002,ZIF-L,PFOA,,,,,10.1016/j.cej.2022.139202,False,False,False,ART_005,,,,PFAS_156
EXP_0048,Adsorption,MOF_004,PFAS_MOF_002,UiO-66,PFOA,85.3,,,Langmuir,10.1016/j.cej.2024.153621,True,False,True,ART_006,,,24.0,PFAS_156
EXP_0049,Adsorption,MOF_004,PFAS_MOF_007,UiO-66,PFOS,105.4,,,Langmuir,10.1016/j.cej.2024.153621,True,False,True,ART_006,,,,PFAS_054
EXP_0050,Adsorption,MOF_027,PFAS_MOF_002,UiO-66(BDC/BDC-NH2),PFOA,,,,,10.1016/j.cej.2024.153621,False,False,False,ART_006,,,,PFAS_156
EXP_0051,Adsorption,MOF_027,PFAS_MOF_007,UiO-66(BDC/BDC-NH2),PFOS,,,,,10.1016/j.cej.2024.153621,False,False,False,ART_006,,,,PFAS_054
EXP_0052,Adsorption,MOF_028,PFAS_MOF_002,UiO-66(BDC/BPDC),PFOA,,,,,10.1016/j.cej.2024.153621,False,False,False,ART_006,,,,PFAS_156
EXP_0053,Adsorption,MOF_028,PFAS_MOF_007,UiO-66(BDC/BPDC),PFOS,,,,,10.1016/j.cej.2024.153621,False,False,False,ART_006,,,,PFAS_054
EXP_0054,Adsorption,MOF_029,PFAS_MOF_002,UiO-66(BDC/NDC),PFOA,476.19,,,Langmuir,10.1016/j.cej.2024.153621,True,False,True,ART_006,,,,PFAS_156
EXP_0055,Adsorption,MOF_029,PFAS_MOF_007,UiO-66(BDC/NDC),PFOS,,,,,10.1016/j.cej.2024.153621,False,False,False,ART_006,,,,PFAS_054
EXP_0056,Adsorption,MOF_007,PFAS_MOF_002,UiO-66-NH2,PFOA,149.0,,,Langmuir,10.1016/j.cej.2024.153621,True,False,True,ART_006,,,,PFAS_156
EXP_0057,Adsorption,MOF_007,PFAS_MOF_007,UiO-66-NH2,PFOS,312.0,,,Langmuir,10.1016/j.cej.2024.153621,True,False,True,ART_006,,,,PFAS_054
EXP_0058,Adsorption,MOF_011,PFAS_MOF_007,ZIF-8,PFOS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_054
EXP_0059,Adsorption,MOF_011,PFAS_MOF_002,ZIF-8,PFOA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_156
EXP_0060,Adsorption,MOF_011,PFAS_MOF_009,ZIF-8,PFHxS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_139
EXP_0061,Adsorption,MOF_011,PFAS_MOF_001,ZIF-8,PFBS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_098
EXP_0062,Adsorption,MOF_011,PFAS_MOF_010,ZIF-8,PFHxA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_053
EXP_0063,Adsorption,MOF_011,PFAS_MOF_003,ZIF-8,PFBA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_084
EXP_0064,Adsorption,MOF_030,PFAS_MOF_007,ZIF-8 activated carbon (ZAC),PFOS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_054
EXP_0065,Adsorption,MOF_030,PFAS_MOF_002,ZIF-8 activated carbon (ZAC),PFOA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_156
EXP_0066,Adsorption,MOF_030,PFAS_MOF_009,ZIF-8 activated carbon (ZAC),PFHxS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_139
EXP_0067,Adsorption,MOF_030,PFAS_MOF_001,ZIF-8 activated carbon (ZAC),PFBS,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_098
EXP_0068,Adsorption,MOF_030,PFAS_MOF_010,ZIF-8 activated carbon (ZAC),PFHxA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_053
EXP_0069,Adsorption,MOF_030,PFAS_MOF_003,ZIF-8 activated carbon (ZAC),PFBA,,,,,10.1016/j.cej.2025.160192,False,False,False,ART_007,,,,PFAS_084
EXP_0070,Adsorption,MOF_031,PFAS_MOF_002,Ch-Gel,PFOA,349.2,,,Langmuir,10.1016/j.cej.2025.170898,True,False,True,ART_008,,,,PFAS_156
EXP_0071,Adsorption,MOF_031,PFAS_MOF_005,Ch-Gel,PFDA,498.0,,,Langmuir,10.1016/j.cej.2025.170898,True,False,True,ART_008,,,,PFAS_052
EXP_0072,Adsorption,MOF_031,PFAS_MOF_017,Ch-Gel,PNBS,140.0,,,Langmuir,10.1016/j.cej.2025.170898,True,False,True,ART_008,,,,PFAS_199
EXP_0073,Adsorption,MOF_031,PFAS_MOF_007,Ch-Gel,PFOS,219.8,,,Langmuir,10.1016/j.cej.2025.170898,True,False,True,ART_008,,,,PFAS_054
EXP_0074,Adsorption,MOF_032,PFAS_MOF_002,ChG-MOF (10%),PFOA,495.8,90.0,,Langmuir,10.1016/j.cej.2025.170898,True,True,True,ART_008,,,,PFAS_156
EXP_0075,Adsorption,MOF_032,PFAS_MOF_005,ChG-MOF (10%),PFDA,689.5,95.0,,Langmuir,10.1016/j.cej.2025.170898,True,True,True,ART_008,,,,PFAS_052
EXP_0076,Adsorption,MOF_032,PFAS_MOF_017,ChG-MOF (10%),PNBS,271.3,73.0,,Langmuir,10.1016/j.cej.2025.170898,True,True,True,ART_008,,,,PFAS_199
EXP_0077,Adsorption,MOF_032,PFAS_MOF_007,ChG-MOF (10%),PFOS,354.7,82.0,,Langmuir,10.1016/j.cej.2025.170898,True,True,True,ART_008,,,,PFAS_054
EXP_0078,Adsorption,MOF_033,PFAS_MOF_002,ChG-MOF (5%),PFOA,,,,,10.1016/j.cej.2025.170898,False,False,False,ART_008,,,,PFAS_156
EXP_0079,Adsorption,MOF_033,PFAS_MOF_005,ChG-MOF (5%),PFDA,,,,,10.1016/j.cej.2025.170898,False,False,False,ART_008,,,,PFAS_052
EXP_0080,Adsorption,MOF_033,PFAS_MOF_017,ChG-MOF (5%),PNBS,,,,,10.1016/j.cej.2025.170898,False,False,False,ART_008,,,,PFAS_199
EXP_0081,Adsorption,MOF_033,PFAS_MOF_007,ChG-MOF (5%),PFOS,,,,,10.1016/j.cej.2025.170898,False,False,False,ART_008,,,,PFAS_054
EXP_0082,Adsorption,MOF_034,PFAS_MOF_016,trimetal-organic framework composite-modified sponge,PFAS (general),,,,,10.1016/j.cej.2026.174010,False,False,False,ART_009,,,,PFAS_MOF_016
EXP_0083,Adsorption,MOF_035,PFAS_MOF_002,MIL-96(Al),PFOA,200.0,,,Langmuir,10.1016/j.chemosphere.2020.128072,True,False,True,ART_010,,,,PFAS_156
EXP_0084,Adsorption,MOF_036,PFAS_MOF_018,M-MOF-74,PFAS,,,,,10.1016/j.commatsci.2024.113334,False,False,False,ART_011,,,,PFAS_MOF_018
EXP_0085,Adsorption,MOF_037,PFAS_MOF_002,DES-based amorphous MOF,PFOA,,,,Langmuir,10.1016/j.envres.2024.118261,False,False,False,ART_012,,,,PFAS_156
EXP_0086,Adsorption,MOF_037,PFAS_MOF_007,DES-based amorphous MOF,PFOS,612.3,,,Langmuir,10.1016/j.envres.2024.118261,True,False,True,ART_012,,,,PFAS_054
EXP_0087,Adsorption,MOF_004,PFAS_MOF_002,UiO-66,PFOA,188.5,,,Langmuir,10.1016/j.envres.2024.118679,True,False,True,ART_013,,,,PFAS_156
EXP_0088,Adsorption,MOF_004,PFAS_MOF_007,UiO-66,PFOS,153.8,,,Langmuir,10.1016/j.envres.2024.118679,True,False,True,ART_013,,,,PFAS_054
