:ID,:LABEL,Initial PFAS conc. (mg/L),Temperature (°C),Ionic strength (mM),Adsorbent dose (g/L),Solution pH
EXP_0001,AdsorptionCondition,1000.0,25.0,,,
EXP_0002,AdsorptionCondition,1000.0,25.0,,,
EXP_0003,AdsorptionCondition,1000.0,25.0,,,
EXP_0004,AdsorptionCondition,1000.0,25.0,,,
EXP_0005,AdsorptionCondition,1000.0,25.0,,,
EXP_0006,AdsorptionCondition,1000.0,25.0,,,
EXP_0007,AdsorptionCondition,0.1,20.0,,,
EXP_0008,AdsorptionCondition,0.1,20.0,,,
EXP_0009,AdsorptionCondition,0.1,20.0,,,
EXP_0010,AdsorptionCondition,0.1,20.0,,,
EXP_0011,AdsorptionCondition,0.1,20.0,,,
EXP_0012,AdsorptionCondition,0.1,20.0,,,
EXP_0013,AdsorptionCondition,0.1,20.0,,,
EXP_0014,AdsorptionCondition,0.1,20.0,,,
EXP_0015,AdsorptionCondition,,20.0,,,
EXP_0016,AdsorptionCondition,0.1,20.0,,,
EXP_0017,AdsorptionCondition,0.1,20.0,,,
EXP_0018,AdsorptionCondition,0.1,20.0,,,
EXP_0019,AdsorptionCondition,0.1,20.0,,,
EXP_0020,AdsorptionCondition,0.1,20.0,,,
EXP_0021,AdsorptionCondition,0.1,20.0,,,
EXP_0022,AdsorptionCondition,,120.0,,,
EXP_0023,AdsorptionCondition,,25.0,,,
EXP_0024,AdsorptionCondition,10.0,25.0,,0.1,7.0
EXP_0025,AdsorptionCondition,,,,,
EXP_0026,AdsorptionCondition,,,,,
EXP_0027,AdsorptionCondition,,,,,
EXP_0028,AdsorptionCondition,,,,,
EXP_0029,AdsorptionCondition,,,,,
EXP_0030,AdsorptionCondition,,,,,
EXP_0031,AdsorptionCondition,,,,,
EXP_0032,AdsorptionCondition,,,,,
EXP_0033,AdsorptionCondition,,,,,
EXP_0034,AdsorptionCondition,,,,,
EXP_0035,AdsorptionCondition,,,,,
EXP_0036,AdsorptionCondition,,,,,
EXP_0037,AdsorptionCondition,,,,,
EXP_0038,AdsorptionCondition,,,,,
EXP_0039,AdsorptionCondition,,,,,
EXP_0040,AdsorptionCondition,,,,,
EXP_0041,AdsorptionCondition,,,,,
EXP_0042,AdsorptionCondition,,,,,
EXP_0043,AdsorptionCondition,500.0,,,,
