:ID,:LABEL,MOF name,Pore topology,Crystal structure,Linker type,Linker connectivity,Linker coord. group,Linker functional group,Nº ligands,Metal node,Cluster type,Cluster nuclearity,SBU,Node connectivity,Nº coordinated linkers,Nº capping ligands,Capping ligand type
MOF_001,MOF,PCN-1001,ftw,,L-ETHC,,carboxylate,ortho-hydroxy,,Zr,zirconium-oxo cluster,6.0,Zr6,,,,acetic acid
MOF_002,MOF,PCN-1002,ftw,Im3m,L-ETHC,,carboxylate,ortho-hydroxy,,Zr,zirconium-oxo cluster,6.0,Zr6,,,,acetic acid
MOF_003,MOF,PCN-94,ftw,,,,,,,Zr,,,,,,,
MOF_004,MOF,UiO-66,fcu,,BDC,2.0,carboxylate,H,,Zr,Zr6O4(OH)4,6.0,Zr6O4(OH)4(COO)12,12.0,12.0,,
MOF_005,MOF,UiO-66-(F)4,fcu,,tetrafluoroterephthalate,2.0,carboxylate,fluoro,,Zr,Zr(IV)-oxo cluster,6.0,Zr6(μ3-O)(μ3-OH) octahedral cluster,12.0,12.0,,
MOF_006,MOF,UiO-66-(F)4-OS,fcu,,tetrafluoroterephthalate,2.0,carboxylate,(F)4,,Zr,Zr(IV)-oxo cluster,6.0,Zr6(μ3-O)(μ3-OH) octahedral cluster,12.0,12.0,,
MOF_007,MOF,UiO-66-NH2,fcu,,NH2-BDC,2.0,carboxylate,amino,,Zr,Zr6O4(OH)4,6.0,Zr6O4(OH)4,12.0,12.0,,
MOF_008,MOF,UiO-66-NO2,fcu,,2-nitroterephthalic acid,2.0,carboxylate,nitro,,Zr,Zr(IV)-oxo cluster,6.0,Zr6(μ3-O)4(μ3-OH)4,12.0,12.0,,
MOF_009,MOF,UiO-66-OS,fcu,,BDC,2.0,carboxylate,H,,Zr,Zr(IV)-oxo cluster,6.0,Zr6(μ3-O)(μ3-OH) octahedral cluster,12.0,12.0,,
MOF_010,MOF,ZIF-67,sod,,2-methylimidazole,,imidazolate,methyl,,Co,,,,,,,
MOF_011,MOF,ZIF-8,sod,cubic,2-methylimidazole,,imidazolate,methyl,,Zn,,,,,,,
MOF_012,MOF,CAT-ZIF-8,,,2-methylimidazole,,,,,Zn,,,,,,,
MOF_013,MOF,Fe-BTC,,,BTC,,carboxylate,,,Fe,,,,,,,
MOF_014,MOF,MIL-100(Fe),,,,,,,,Fe,,,,,,,
MOF_015,MOF,MIL-101(Cr),,,BDC,,carboxylate,,,Cr,,,,,,,
MOF_016,MOF,MIL-101(Cr) anion-exchange,,,terephthalate,,carboxylate,,,Cr,,,,,,,
MOF_017,MOF,MIL-101(Fe),,,,,,,,Fe,,,,,,,
MOF_018,MOF,MIL-125-NH2,,,NH2-BDC,,carboxylate,amino,,Ti,Ti4+ clusters,,,,,,
MOF_019,MOF,MIL-53(Al),,,,,,,,Al,,,,,,,
