:ID,:LABEL,Name,CAS_RN,SMILES,StdInChIKey,PubChem_CID,DTXSID,Molecular_Formula,logKow,logKow_predicted,n_F_atoms,MW,functional_group,chain_length,Ether_Linkage,HeavyAtomCount,HBD,HBA,RotatableBonds,TPSA,Fsp3,logP_rdkit,MolMR,QED,NumCl,NumBr,NumN,NumO,NumS,BertzCT,Kappa1,Kappa2,Kappa3,ExposureScore_Water_KEMI,HazScore_EcoChronic_KEMI,ValidationLevel_KEMI,pKa,node_type,CMC (mg/L)
PFAS_001,PFAS,Perfluoro(2-methylpent-2-ene),1584-03-8,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,FAEGGADNHFKDQX-UHFFFAOYSA-N,74105.0,DTXSID00166413,C6F12,4.91,4.91,12.0,299.9808,Alkene/Vinyl,7.0,no,18.0,0.0,0.0,1.0,0.0,0.6667,4.5322,31.246,0.624,0.0,0.0,0.0,0.0,0.0,319.0498,16.9,4.2264,3.2201,0.2,0.02,2.0,,compound,
PFAS_002,PFAS,8H-Perfluorooctane,335-65-9,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KBHBUUBXEQUIMV-UHFFFAOYSA-N,101652.0,DTXSID00187143,C8H1F17,5.56,5.56,17.0,419.9807,Perfluoroalkane,8.0,no,25.0,0.0,0.0,6.0,0.0,1.0,5.6256,41.741,0.4895,0.0,0.0,0.0,0.0,0.0,481.3665,23.81,5.6531,2.8561,0.2,0.01,3.0,,compound,
PFAS_003,PFAS,Perfluorohept-1-ene,355-63-5,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CDAVUOSPHHTNBU-UHFFFAOYSA-N,67737.0,DTXSID00188998,C7F14,5.1,5.1,14.0,349.9776,Alkene/Vinyl,6.0,no,21.0,0.0,0.0,4.0,0.0,0.7143,5.1675,36.193,0.6142,0.0,0.0,0.0,0.0,0.0,421.0937,19.76,4.8973,2.6303,0.2,0.08,2.0,,compound,
PFAS_004,PFAS,Dichloromethyl((perfluorohexyl)ethyl)silane,73609-36-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SiH2]C(Cl)Cl,VBDMVWQNRXVEGC-UHFFFAOYSA-N,123573.0,DTXSID00223797,C9H7Cl2F13Si,7.1,7.1,13.0,459.9486,Perfluoroalkane,6.0,no,25.0,0.0,0.0,8.0,0.0,1.0,5.4636,64.252,0.256,2.0,0.0,0.0,0.0,0.0,458.9063,24.8869,7.1314,4.2502,0.26,0.03,5.0,,compound,
PFAS_005,PFAS,"Perfluoro-1,3-dimethylcyclohexane",335-27-3,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,LOQGSOTUHASIHI-UHFFFAOYSA-N,78975.0,DTXSID0036926,C8F16,6.02,6.02,16.0,399.9745,Cyclic,6.0,no,24.0,0.0,0.0,0.0,0.0,1.0,5.0824,39.576,0.4979,0.0,0.0,0.0,0.0,0.0,479.176,20.9237,4.3404,1.6425,0.3,0.01,3.0,,compound,
PFAS_006,PFAS,Perfluorobutanoyl fluoride,335-42-2,O=C(C(C(C(F)(F)F)(F)F)(F)F)F,YYXWJNBPHDUWJP-UHFFFAOYSA-N,67632.0,DTXSID0041696,C4F8O1,1.27,1.27,8.0,215.9821,Acyl fluoride,2.0,no,13.0,0.0,1.0,2.0,17.07,0.75,2.3154,22.064,0.5109,0.0,0.0,0.0,1.0,0.0,214.6741,12.11,2.808,1.7264,0.28,0.13,2.0,,compound,
PFAS_007,PFAS,Perflunafene,306-94-5,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,UWEYRJFJVCLAGH-UHFFFAOYSA-N,9386.0,DTXSID0046511,C10F18,5.68,5.68,18.0,461.9713,Cyclic,6.0,no,28.0,0.0,0.0,0.0,0.0,1.0,5.5126,47.254,0.4169,0.0,0.0,0.0,0.0,0.0,587.1549,23.0232,4.566,1.4595,0.47,0.01,2.0,,compound,
PFAS_008,PFAS,Perfluorooctane,307-34-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YVBBRRALBYAZBM-UHFFFAOYSA-N,9387.0,DTXSID0059794,C8F18,6.17,6.17,18.0,437.9713,Perfluoroalkane,9.0,no,26.0,0.0,0.0,5.0,0.0,1.0,5.9228,41.792,0.4679,0.0,0.0,0.0,0.0,0.0,468.2896,24.74,5.6193,2.8195,0.33,0.01,2.0,,compound,
PFAS_009,PFAS,Perfluorooctanoyl fluoride,335-66-0,O=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,ZILWJLIFAGWGLE-UHFFFAOYSA-N,67634.0,DTXSID0059829,C8F16O1,3.94,3.94,16.0,415.9694,Acyl fluoride,2.0,no,25.0,0.0,1.0,6.0,17.07,0.875,4.8566,41.852,0.447,0.0,0.0,0.0,1.0,0.0,526.743,23.55,5.5216,2.7779,0.28,0.01,2.0,,compound,
PFAS_010,PFAS,Perfluorohexanoyl fluoride,355-38-4,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XATLHBQMSOZWBO-UHFFFAOYSA-N,67731.0,DTXSID0059877,C6F12O1,2.6,2.6,12.0,315.9758,Acyl fluoride,6.0,no,19.0,0.0,1.0,4.0,17.07,0.8333,3.586,31.958,0.5722,0.0,0.0,0.0,1.0,0.0,364.9061,17.83,4.1627,2.2203,0.35,0.02,2.0,,compound,
