:ID,:LABEL,pfas_id,pfas_name,property,value,type,unit
EC_001_logKow,PFASProperty,PFAS_001,Perfluoro(2-methylpent-2-ene),logKow,4.91,Experimental/Predicted,
EC_001_ExposureScore_Water,PFASProperty,PFAS_001,Perfluoro(2-methylpent-2-ene),ExposureScore_Water,0.2,Score,
EC_001_HazScore_EcoChronic,PFASProperty,PFAS_001,Perfluoro(2-methylpent-2-ene),HazScore_EcoChronic,0.02,Score,
EC_001_TPSA,PFASProperty,PFAS_001,Perfluoro(2-methylpent-2-ene),TPSA,0.0,Calculated,
EC_001_QED,PFASProperty,PFAS_001,Perfluoro(2-methylpent-2-ene),QED,0.624,Calculated,
EC_002_logKow,PFASProperty,PFAS_002,8H-Perfluorooctane,logKow,5.56,Experimental/Predicted,
EC_002_ExposureScore_Water,PFASProperty,PFAS_002,8H-Perfluorooctane,ExposureScore_Water,0.2,Score,
EC_002_HazScore_EcoChronic,PFASProperty,PFAS_002,8H-Perfluorooctane,HazScore_EcoChronic,0.01,Score,
EC_002_TPSA,PFASProperty,PFAS_002,8H-Perfluorooctane,TPSA,0.0,Calculated,
EC_002_QED,PFASProperty,PFAS_002,8H-Perfluorooctane,QED,0.4895,Calculated,
EC_003_logKow,PFASProperty,PFAS_003,Perfluorohept-1-ene,logKow,5.1,Experimental/Predicted,
EC_003_ExposureScore_Water,PFASProperty,PFAS_003,Perfluorohept-1-ene,ExposureScore_Water,0.2,Score,
EC_003_HazScore_EcoChronic,PFASProperty,PFAS_003,Perfluorohept-1-ene,HazScore_EcoChronic,0.08,Score,
EC_003_TPSA,PFASProperty,PFAS_003,Perfluorohept-1-ene,TPSA,0.0,Calculated,
EC_003_QED,PFASProperty,PFAS_003,Perfluorohept-1-ene,QED,0.6142,Calculated,
EC_004_logKow,PFASProperty,PFAS_004,Dichloromethyl((perfluorohexyl)ethyl)silane,logKow,7.1,Experimental/Predicted,
EC_004_ExposureScore_Water,PFASProperty,PFAS_004,Dichloromethyl((perfluorohexyl)ethyl)silane,ExposureScore_Water,0.26,Score,
EC_004_HazScore_EcoChronic,PFASProperty,PFAS_004,Dichloromethyl((perfluorohexyl)ethyl)silane,HazScore_EcoChronic,0.03,Score,
EC_004_TPSA,PFASProperty,PFAS_004,Dichloromethyl((perfluorohexyl)ethyl)silane,TPSA,0.0,Calculated,
EC_004_QED,PFASProperty,PFAS_004,Dichloromethyl((perfluorohexyl)ethyl)silane,QED,0.256,Calculated,
EC_005_logKow,PFASProperty,PFAS_005,"Perfluoro-1,3-dimethylcyclohexane",logKow,6.02,Experimental/Predicted,
EC_005_ExposureScore_Water,PFASProperty,PFAS_005,"Perfluoro-1,3-dimethylcyclohexane",ExposureScore_Water,0.3,Score,
EC_005_HazScore_EcoChronic,PFASProperty,PFAS_005,"Perfluoro-1,3-dimethylcyclohexane",HazScore_EcoChronic,0.01,Score,
EC_005_TPSA,PFASProperty,PFAS_005,"Perfluoro-1,3-dimethylcyclohexane",TPSA,0.0,Calculated,
EC_005_QED,PFASProperty,PFAS_005,"Perfluoro-1,3-dimethylcyclohexane",QED,0.4979,Calculated,
EC_006_logKow,PFASProperty,PFAS_006,Perfluorobutanoyl fluoride,logKow,1.27,Experimental/Predicted,
EC_006_ExposureScore_Water,PFASProperty,PFAS_006,Perfluorobutanoyl fluoride,ExposureScore_Water,0.28,Score,
EC_006_HazScore_EcoChronic,PFASProperty,PFAS_006,Perfluorobutanoyl fluoride,HazScore_EcoChronic,0.13,Score,
EC_006_TPSA,PFASProperty,PFAS_006,Perfluorobutanoyl fluoride,TPSA,17.07,Calculated,
EC_006_QED,PFASProperty,PFAS_006,Perfluorobutanoyl fluoride,QED,0.5109,Calculated,
