:START_ID,:END_ID,:TYPE
MOF_001,CHAR_001,CHARACTERIZED_BY
MOF_002,CHAR_002,CHARACTERIZED_BY
MOF_003,CHAR_003,CHARACTERIZED_BY
MOF_004,CHAR_004,CHARACTERIZED_BY
MOF_005,CHAR_005,CHARACTERIZED_BY
MOF_006,CHAR_006,CHARACTERIZED_BY
MOF_007,CHAR_007,CHARACTERIZED_BY
MOF_008,CHAR_008,CHARACTERIZED_BY
MOF_009,CHAR_009,CHARACTERIZED_BY
MOF_004,CHAR_010,CHARACTERIZED_BY
MOF_010,CHAR_011,CHARACTERIZED_BY
MOF_011,CHAR_012,CHARACTERIZED_BY
MOF_012,CHAR_013,CHARACTERIZED_BY
MOF_013,CHAR_014,CHARACTERIZED_BY
MOF_014,CHAR_015,CHARACTERIZED_BY
MOF_015,CHAR_016,CHARACTERIZED_BY
MOF_016,CHAR_017,CHARACTERIZED_BY
MOF_017,CHAR_018,CHARACTERIZED_BY
MOF_018,CHAR_019,CHARACTERIZED_BY
MOF_019,CHAR_020,CHARACTERIZED_BY
MOF_020,CHAR_021,CHARACTERIZED_BY
MOF_021,CHAR_022,CHARACTERIZED_BY
MOF_022,CHAR_023,CHARACTERIZED_BY
MOF_023,CHAR_024,CHARACTERIZED_BY
MOF_004,CHAR_025,CHARACTERIZED_BY
MOF_024,CHAR_026,CHARACTERIZED_BY
MOF_025,CHAR_027,CHARACTERIZED_BY
MOF_011,CHAR_028,CHARACTERIZED_BY
MOF_026,CHAR_029,CHARACTERIZED_BY
MOF_004,CHAR_030,CHARACTERIZED_BY
MOF_027,CHAR_031,CHARACTERIZED_BY
MOF_028,CHAR_032,CHARACTERIZED_BY
MOF_029,CHAR_033,CHARACTERIZED_BY
MOF_007,CHAR_034,CHARACTERIZED_BY
MOF_011,CHAR_035,CHARACTERIZED_BY
MOF_030,CHAR_036,CHARACTERIZED_BY
MOF_031,CHAR_037,CHARACTERIZED_BY
MOF_032,CHAR_038,CHARACTERIZED_BY
MOF_033,CHAR_039,CHARACTERIZED_BY
MOF_034,CHAR_040,CHARACTERIZED_BY
MOF_035,CHAR_041,CHARACTERIZED_BY
MOF_036,CHAR_042,CHARACTERIZED_BY
MOF_037,CHAR_043,CHARACTERIZED_BY
MOF_004,CHAR_044,CHARACTERIZED_BY
MOF_007,CHAR_045,CHARACTERIZED_BY
MOF_038,CHAR_046,CHARACTERIZED_BY
MOF_039,CHAR_047,CHARACTERIZED_BY
MOF_040,CHAR_048,CHARACTERIZED_BY
MOF_041,CHAR_049,CHARACTERIZED_BY
MOF_042,CHAR_050,CHARACTERIZED_BY
MOF_043,CHAR_051,CHARACTERIZED_BY
MOF_044,CHAR_052,CHARACTERIZED_BY
MOF_045,CHAR_053,CHARACTERIZED_BY
MOF_011,CHAR_054,CHARACTERIZED_BY
MOF_014,CHAR_055,CHARACTERIZED_BY
MOF_046,CHAR_056,CHARACTERIZED_BY
MOF_004,CHAR_057,CHARACTERIZED_BY
MOF_011,CHAR_058,CHARACTERIZED_BY
MOF_047,CHAR_059,CHARACTERIZED_BY
MOF_048,CHAR_060,CHARACTERIZED_BY
MOF_049,CHAR_061,CHARACTERIZED_BY
MOF_050,CHAR_062,CHARACTERIZED_BY
MOF_051,CHAR_063,CHARACTERIZED_BY
MOF_052,CHAR_064,CHARACTERIZED_BY
MOF_038,CHAR_065,CHARACTERIZED_BY
MOF_022,CHAR_066,CHARACTERIZED_BY
MOF_022,CHAR_067,CHARACTERIZED_BY
MOF_053,CHAR_068,CHARACTERIZED_BY
MOF_054,CHAR_069,CHARACTERIZED_BY
MOF_022,CHAR_070,CHARACTERIZED_BY
MOF_004,CHAR_071,CHARACTERIZED_BY
MOF_011,CHAR_072,CHARACTERIZED_BY
MOF_015,CHAR_073,CHARACTERIZED_BY
MOF_055,CHAR_074,CHARACTERIZED_BY
MOF_056,CHAR_075,CHARACTERIZED_BY
MOF_057,CHAR_076,CHARACTERIZED_BY
MOF_058,CHAR_077,CHARACTERIZED_BY
MOF_059,CHAR_078,CHARACTERIZED_BY
MOF_060,CHAR_079,CHARACTERIZED_BY
MOF_061,CHAR_080,CHARACTERIZED_BY
MOF_062,CHAR_081,CHARACTERIZED_BY
MOF_038,CHAR_082,CHARACTERIZED_BY
MOF_063,CHAR_083,CHARACTERIZED_BY
MOF_064,CHAR_084,CHARACTERIZED_BY
MOF_065,CHAR_085,CHARACTERIZED_BY
MOF_066,CHAR_086,CHARACTERIZED_BY
MOF_022,CHAR_087,CHARACTERIZED_BY
MOF_067,CHAR_088,CHARACTERIZED_BY
MOF_068,CHAR_089,CHARACTERIZED_BY
MOF_069,CHAR_090,CHARACTERIZED_BY
MOF_070,CHAR_091,CHARACTERIZED_BY
MOF_071,CHAR_092,CHARACTERIZED_BY
MOF_069,CHAR_093,CHARACTERIZED_BY
MOF_010,CHAR_094,CHARACTERIZED_BY
MOF_011,CHAR_095,CHARACTERIZED_BY
MOF_072,CHAR_096,CHARACTERIZED_BY
MOF_026,CHAR_097,CHARACTERIZED_BY
MOF_073,CHAR_098,CHARACTERIZED_BY
MOF_007,CHAR_099,CHARACTERIZED_BY
MOF_074,CHAR_100,CHARACTERIZED_BY
MOF_007,CHAR_101,CHARACTERIZED_BY
MOF_075,CHAR_102,CHARACTERIZED_BY
MOF_076,CHAR_103,CHARACTERIZED_BY
MOF_017,CHAR_104,CHARACTERIZED_BY
MOF_077,CHAR_105,CHARACTERIZED_BY
MOF_078,CHAR_106,CHARACTERIZED_BY
MOF_079,CHAR_107,CHARACTERIZED_BY
