:START_ID,:END_ID,:TYPE
CHAR_001,ART_001,REPORTED_IN
CHAR_002,ART_001,REPORTED_IN
CHAR_003,ART_001,REPORTED_IN
CHAR_004,ART_002,REPORTED_IN
CHAR_005,ART_002,REPORTED_IN
CHAR_006,ART_002,REPORTED_IN
CHAR_007,ART_002,REPORTED_IN
CHAR_008,ART_002,REPORTED_IN
CHAR_009,ART_002,REPORTED_IN
CHAR_010,ART_003,REPORTED_IN
CHAR_011,ART_004,REPORTED_IN
CHAR_012,ART_004,REPORTED_IN
CHAR_013,ART_005,REPORTED_IN
CHAR_014,ART_005,REPORTED_IN
CHAR_015,ART_005,REPORTED_IN
CHAR_016,ART_005,REPORTED_IN
CHAR_017,ART_005,REPORTED_IN
CHAR_018,ART_005,REPORTED_IN
CHAR_019,ART_005,REPORTED_IN
CHAR_020,ART_005,REPORTED_IN
CHAR_021,ART_005,REPORTED_IN
CHAR_022,ART_005,REPORTED_IN
CHAR_023,ART_005,REPORTED_IN
CHAR_024,ART_005,REPORTED_IN
CHAR_025,ART_005,REPORTED_IN
CHAR_026,ART_005,REPORTED_IN
CHAR_027,ART_005,REPORTED_IN
CHAR_028,ART_005,REPORTED_IN
CHAR_029,ART_005,REPORTED_IN
CHAR_030,ART_006,REPORTED_IN
CHAR_031,ART_006,REPORTED_IN
CHAR_032,ART_006,REPORTED_IN
CHAR_033,ART_006,REPORTED_IN
CHAR_034,ART_006,REPORTED_IN
CHAR_035,ART_007,REPORTED_IN
CHAR_036,ART_007,REPORTED_IN
CHAR_037,ART_008,REPORTED_IN
CHAR_038,ART_008,REPORTED_IN
CHAR_039,ART_008,REPORTED_IN
CHAR_040,ART_009,REPORTED_IN
CHAR_041,ART_010,REPORTED_IN
CHAR_042,ART_011,REPORTED_IN
CHAR_043,ART_012,REPORTED_IN
CHAR_044,ART_013,REPORTED_IN
CHAR_045,ART_013,REPORTED_IN
CHAR_046,ART_014,REPORTED_IN
CHAR_047,ART_015,REPORTED_IN
CHAR_048,ART_016,REPORTED_IN
CHAR_049,ART_016,REPORTED_IN
CHAR_050,ART_017,REPORTED_IN
CHAR_051,ART_017,REPORTED_IN
CHAR_052,ART_017,REPORTED_IN
CHAR_053,ART_018,REPORTED_IN
CHAR_054,ART_019,REPORTED_IN
CHAR_055,ART_020,REPORTED_IN
CHAR_056,ART_021,REPORTED_IN
CHAR_057,ART_021,REPORTED_IN
CHAR_058,ART_022,REPORTED_IN
CHAR_059,ART_023,REPORTED_IN
CHAR_060,ART_023,REPORTED_IN
CHAR_061,ART_023,REPORTED_IN
CHAR_062,ART_023,REPORTED_IN
CHAR_063,ART_024,REPORTED_IN
CHAR_064,ART_025,REPORTED_IN
CHAR_065,ART_025,REPORTED_IN
CHAR_066,ART_040,REPORTED_IN
CHAR_067,ART_041,REPORTED_IN
CHAR_068,ART_041,REPORTED_IN
CHAR_069,ART_041,REPORTED_IN
CHAR_070,ART_042,REPORTED_IN
CHAR_071,ART_042,REPORTED_IN
CHAR_072,ART_042,REPORTED_IN
CHAR_073,ART_043,REPORTED_IN
CHAR_074,ART_043,REPORTED_IN
CHAR_075,ART_043,REPORTED_IN
CHAR_076,ART_043,REPORTED_IN
CHAR_077,ART_043,REPORTED_IN
CHAR_078,ART_044,REPORTED_IN
CHAR_079,ART_044,REPORTED_IN
CHAR_080,ART_045,REPORTED_IN
CHAR_081,ART_045,REPORTED_IN
CHAR_082,ART_046,REPORTED_IN
CHAR_083,ART_047,REPORTED_IN
CHAR_084,ART_047,REPORTED_IN
CHAR_085,ART_047,REPORTED_IN
CHAR_086,ART_047,REPORTED_IN
CHAR_087,ART_047,REPORTED_IN
CHAR_088,ART_047,REPORTED_IN
CHAR_089,ART_047,REPORTED_IN
CHAR_090,ART_047,REPORTED_IN
CHAR_091,ART_047,REPORTED_IN
CHAR_092,ART_047,REPORTED_IN
CHAR_093,ART_048,REPORTED_IN
CHAR_094,ART_048,REPORTED_IN
CHAR_095,ART_048,REPORTED_IN
CHAR_096,ART_048,REPORTED_IN
CHAR_097,ART_048,REPORTED_IN
CHAR_098,ART_049,REPORTED_IN
CHAR_099,ART_049,REPORTED_IN
CHAR_100,ART_050,REPORTED_IN
CHAR_101,ART_050,REPORTED_IN
CHAR_102,ART_051,REPORTED_IN
CHAR_103,ART_051,REPORTED_IN
CHAR_104,ART_051,REPORTED_IN
CHAR_105,ART_052,REPORTED_IN
CHAR_106,ART_053,REPORTED_IN
CHAR_107,ART_053,REPORTED_IN
