:START_ID,:END_ID,:TYPE
EXP_0025,PFAS_MOF_016,TARGETS_CATEGORY
EXP_0028,PFAS_MOF_016,TARGETS_CATEGORY
EXP_0044,PFAS_MOF_016,TARGETS_CATEGORY
EXP_0082,PFAS_MOF_016,TARGETS_CATEGORY
EXP_0084,PFAS_MOF_018,TARGETS_CATEGORY
EXP_0174,PFAS_MOF_023,TARGETS_CATEGORY
EXP_0175,PFAS_MOF_024,TARGETS_CATEGORY
EXP_0176,PFAS_MOF_025,TARGETS_CATEGORY
EXP_0177,PFAS_MOF_026,TARGETS_CATEGORY
EXP_0178,PFAS_MOF_027,TARGETS_CATEGORY
EXP_0179,PFAS_MOF_028,TARGETS_CATEGORY
EXP_0182,PFAS_MOF_023,TARGETS_CATEGORY
EXP_0183,PFAS_MOF_024,TARGETS_CATEGORY
EXP_0184,PFAS_MOF_025,TARGETS_CATEGORY
EXP_0185,PFAS_MOF_026,TARGETS_CATEGORY
EXP_0186,PFAS_MOF_027,TARGETS_CATEGORY
EXP_0187,PFAS_MOF_028,TARGETS_CATEGORY
EXP_0190,PFAS_MOF_023,TARGETS_CATEGORY
EXP_0191,PFAS_MOF_024,TARGETS_CATEGORY
EXP_0192,PFAS_MOF_025,TARGETS_CATEGORY
EXP_0193,PFAS_MOF_026,TARGETS_CATEGORY
EXP_0194,PFAS_MOF_027,TARGETS_CATEGORY
EXP_0195,PFAS_MOF_028,TARGETS_CATEGORY
