:START_ID,:END_ID,:TYPE
EXP_0025,PFAS_MOF_016,TARGETS_CLASS
EXP_0028,PFAS_MOF_016,TARGETS_CLASS
EXP_0044,PFAS_MOF_016,TARGETS_CLASS
EXP_0082,PFAS_MOF_016,TARGETS_CLASS
EXP_0084,PFAS_MOF_018,TARGETS_CLASS
EXP_0174,PFAS_MOF_023,TARGETS_CLASS
EXP_0175,PFAS_MOF_024,TARGETS_CLASS
EXP_0176,PFAS_MOF_025,TARGETS_CLASS
EXP_0177,PFAS_MOF_026,TARGETS_CLASS
EXP_0178,PFAS_MOF_027,TARGETS_CLASS
EXP_0179,PFAS_MOF_028,TARGETS_CLASS
EXP_0182,PFAS_MOF_023,TARGETS_CLASS
EXP_0183,PFAS_MOF_024,TARGETS_CLASS
EXP_0184,PFAS_MOF_025,TARGETS_CLASS
EXP_0185,PFAS_MOF_026,TARGETS_CLASS
EXP_0186,PFAS_MOF_027,TARGETS_CLASS
EXP_0187,PFAS_MOF_028,TARGETS_CLASS
EXP_0190,PFAS_MOF_023,TARGETS_CLASS
EXP_0191,PFAS_MOF_024,TARGETS_CLASS
EXP_0192,PFAS_MOF_025,TARGETS_CLASS
EXP_0193,PFAS_MOF_026,TARGETS_CLASS
EXP_0194,PFAS_MOF_027,TARGETS_CLASS
EXP_0195,PFAS_MOF_028,TARGETS_CLASS
