:START_ID,:END_ID,:TYPE
EXP_0001,PFAS_156,TARGETS_COMPOUND
EXP_0002,PFAS_156,TARGETS_COMPOUND
EXP_0003,PFAS_098,TARGETS_COMPOUND
EXP_0004,PFAS_052,TARGETS_COMPOUND
EXP_0005,PFAS_156,TARGETS_COMPOUND
EXP_0006,PFAS_052,TARGETS_COMPOUND
EXP_0007,PFAS_156,TARGETS_COMPOUND
EXP_0008,PFAS_054,TARGETS_COMPOUND
EXP_0009,PFAS_076,TARGETS_COMPOUND
EXP_0010,PFAS_156,TARGETS_COMPOUND
EXP_0011,PFAS_054,TARGETS_COMPOUND
EXP_0012,PFAS_076,TARGETS_COMPOUND
EXP_0013,PFAS_156,TARGETS_COMPOUND
EXP_0014,PFAS_054,TARGETS_COMPOUND
EXP_0015,PFAS_076,TARGETS_COMPOUND
EXP_0016,PFAS_156,TARGETS_COMPOUND
EXP_0017,PFAS_054,TARGETS_COMPOUND
EXP_0018,PFAS_156,TARGETS_COMPOUND
EXP_0019,PFAS_054,TARGETS_COMPOUND
EXP_0020,PFAS_156,TARGETS_COMPOUND
EXP_0021,PFAS_054,TARGETS_COMPOUND
EXP_0022,PFAS_156,TARGETS_COMPOUND
EXP_0023,PFAS_054,TARGETS_COMPOUND
EXP_0024,PFAS_054,TARGETS_COMPOUND
EXP_0026,PFAS_156,TARGETS_COMPOUND
EXP_0027,PFAS_156,TARGETS_COMPOUND
EXP_0029,PFAS_054,TARGETS_COMPOUND
EXP_0030,PFAS_156,TARGETS_COMPOUND
EXP_0031,PFAS_156,TARGETS_COMPOUND
EXP_0032,PFAS_054,TARGETS_COMPOUND
EXP_0033,PFAS_156,TARGETS_COMPOUND
EXP_0034,PFAS_054,TARGETS_COMPOUND
EXP_0035,PFAS_156,TARGETS_COMPOUND
EXP_0036,PFAS_054,TARGETS_COMPOUND
EXP_0037,PFAS_054,TARGETS_COMPOUND
EXP_0038,PFAS_156,TARGETS_COMPOUND
EXP_0039,PFAS_098,TARGETS_COMPOUND
EXP_0040,PFAS_054,TARGETS_COMPOUND
EXP_0041,PFAS_054,TARGETS_COMPOUND
EXP_0042,PFAS_098,TARGETS_COMPOUND
EXP_0043,PFAS_156,TARGETS_COMPOUND
EXP_0045,PFAS_156,TARGETS_COMPOUND
EXP_0046,PFAS_156,TARGETS_COMPOUND
EXP_0047,PFAS_156,TARGETS_COMPOUND
EXP_0048,PFAS_156,TARGETS_COMPOUND
EXP_0049,PFAS_054,TARGETS_COMPOUND
EXP_0050,PFAS_156,TARGETS_COMPOUND
EXP_0051,PFAS_054,TARGETS_COMPOUND
EXP_0052,PFAS_156,TARGETS_COMPOUND
EXP_0053,PFAS_054,TARGETS_COMPOUND
EXP_0054,PFAS_156,TARGETS_COMPOUND
EXP_0055,PFAS_054,TARGETS_COMPOUND
EXP_0056,PFAS_156,TARGETS_COMPOUND
EXP_0057,PFAS_054,TARGETS_COMPOUND
EXP_0058,PFAS_054,TARGETS_COMPOUND
EXP_0059,PFAS_156,TARGETS_COMPOUND
EXP_0060,PFAS_139,TARGETS_COMPOUND
EXP_0061,PFAS_098,TARGETS_COMPOUND
EXP_0062,PFAS_053,TARGETS_COMPOUND
EXP_0063,PFAS_084,TARGETS_COMPOUND
EXP_0064,PFAS_054,TARGETS_COMPOUND
EXP_0065,PFAS_156,TARGETS_COMPOUND
EXP_0066,PFAS_139,TARGETS_COMPOUND
EXP_0067,PFAS_098,TARGETS_COMPOUND
EXP_0068,PFAS_053,TARGETS_COMPOUND
EXP_0069,PFAS_084,TARGETS_COMPOUND
EXP_0070,PFAS_156,TARGETS_COMPOUND
EXP_0071,PFAS_052,TARGETS_COMPOUND
EXP_0072,PFAS_199,TARGETS_COMPOUND
EXP_0073,PFAS_054,TARGETS_COMPOUND
EXP_0074,PFAS_156,TARGETS_COMPOUND
EXP_0075,PFAS_052,TARGETS_COMPOUND
EXP_0076,PFAS_199,TARGETS_COMPOUND
EXP_0077,PFAS_054,TARGETS_COMPOUND
EXP_0078,PFAS_156,TARGETS_COMPOUND
EXP_0079,PFAS_052,TARGETS_COMPOUND
EXP_0080,PFAS_199,TARGETS_COMPOUND
EXP_0081,PFAS_054,TARGETS_COMPOUND
EXP_0083,PFAS_156,TARGETS_COMPOUND
EXP_0085,PFAS_156,TARGETS_COMPOUND
EXP_0086,PFAS_054,TARGETS_COMPOUND
EXP_0087,PFAS_156,TARGETS_COMPOUND
EXP_0088,PFAS_054,TARGETS_COMPOUND
EXP_0089,PFAS_084,TARGETS_COMPOUND
EXP_0090,PFAS_098,TARGETS_COMPOUND
EXP_0091,PFAS_053,TARGETS_COMPOUND
EXP_0092,PFAS_139,TARGETS_COMPOUND
EXP_0093,PFAS_155,TARGETS_COMPOUND
EXP_0094,PFAS_052,TARGETS_COMPOUND
EXP_0095,PFAS_076,TARGETS_COMPOUND
EXP_0096,PFAS_200,TARGETS_COMPOUND
EXP_0097,PFAS_201,TARGETS_COMPOUND
EXP_0098,PFAS_202,TARGETS_COMPOUND
EXP_0099,PFAS_156,TARGETS_COMPOUND
EXP_0100,PFAS_054,TARGETS_COMPOUND
EXP_0101,PFAS_084,TARGETS_COMPOUND
EXP_0102,PFAS_098,TARGETS_COMPOUND
EXP_0103,PFAS_053,TARGETS_COMPOUND
