:START_ID,:END_ID,:TYPE
EXP_0001,PFAS_156,TARGETS_PFAS
EXP_0002,PFAS_156,TARGETS_PFAS
EXP_0003,PFAS_098,TARGETS_PFAS
EXP_0004,PFAS_052,TARGETS_PFAS
EXP_0005,PFAS_156,TARGETS_PFAS
EXP_0006,PFAS_052,TARGETS_PFAS
EXP_0007,PFAS_156,TARGETS_PFAS
EXP_0008,PFAS_054,TARGETS_PFAS
EXP_0009,PFAS_076,TARGETS_PFAS
EXP_0010,PFAS_156,TARGETS_PFAS
EXP_0011,PFAS_054,TARGETS_PFAS
EXP_0012,PFAS_076,TARGETS_PFAS
EXP_0013,PFAS_156,TARGETS_PFAS
EXP_0014,PFAS_054,TARGETS_PFAS
EXP_0015,PFAS_076,TARGETS_PFAS
EXP_0016,PFAS_156,TARGETS_PFAS
EXP_0017,PFAS_054,TARGETS_PFAS
EXP_0018,PFAS_156,TARGETS_PFAS
EXP_0019,PFAS_054,TARGETS_PFAS
EXP_0020,PFAS_156,TARGETS_PFAS
EXP_0021,PFAS_054,TARGETS_PFAS
EXP_0022,PFAS_156,TARGETS_PFAS
EXP_0023,PFAS_054,TARGETS_PFAS
EXP_0024,PFAS_054,TARGETS_PFAS
EXP_0026,PFAS_156,TARGETS_PFAS
EXP_0027,PFAS_156,TARGETS_PFAS
EXP_0029,PFAS_054,TARGETS_PFAS
EXP_0030,PFAS_156,TARGETS_PFAS
EXP_0031,PFAS_156,TARGETS_PFAS
EXP_0032,PFAS_054,TARGETS_PFAS
EXP_0033,PFAS_156,TARGETS_PFAS
EXP_0034,PFAS_054,TARGETS_PFAS
EXP_0035,PFAS_156,TARGETS_PFAS
EXP_0036,PFAS_054,TARGETS_PFAS
EXP_0037,PFAS_054,TARGETS_PFAS
EXP_0038,PFAS_156,TARGETS_PFAS
EXP_0039,PFAS_098,TARGETS_PFAS
EXP_0040,PFAS_054,TARGETS_PFAS
EXP_0041,PFAS_054,TARGETS_PFAS
EXP_0042,PFAS_098,TARGETS_PFAS
EXP_0043,PFAS_156,TARGETS_PFAS
EXP_0045,PFAS_156,TARGETS_PFAS
EXP_0046,PFAS_156,TARGETS_PFAS
EXP_0047,PFAS_156,TARGETS_PFAS
EXP_0048,PFAS_156,TARGETS_PFAS
EXP_0049,PFAS_054,TARGETS_PFAS
EXP_0050,PFAS_156,TARGETS_PFAS
EXP_0051,PFAS_054,TARGETS_PFAS
EXP_0052,PFAS_156,TARGETS_PFAS
EXP_0053,PFAS_054,TARGETS_PFAS
EXP_0054,PFAS_156,TARGETS_PFAS
EXP_0055,PFAS_054,TARGETS_PFAS
EXP_0056,PFAS_156,TARGETS_PFAS
EXP_0057,PFAS_054,TARGETS_PFAS
EXP_0058,PFAS_054,TARGETS_PFAS
EXP_0059,PFAS_156,TARGETS_PFAS
EXP_0060,PFAS_139,TARGETS_PFAS
EXP_0061,PFAS_098,TARGETS_PFAS
EXP_0062,PFAS_053,TARGETS_PFAS
EXP_0063,PFAS_084,TARGETS_PFAS
EXP_0064,PFAS_054,TARGETS_PFAS
EXP_0065,PFAS_156,TARGETS_PFAS
EXP_0066,PFAS_139,TARGETS_PFAS
EXP_0067,PFAS_098,TARGETS_PFAS
