:START_ID,:END_ID,:TYPE
MOF_001,EXP_0001,TESTED_IN
MOF_002,EXP_0002,TESTED_IN
MOF_002,EXP_0003,TESTED_IN
MOF_002,EXP_0004,TESTED_IN
MOF_003,EXP_0005,TESTED_IN
MOF_003,EXP_0006,TESTED_IN
MOF_004,EXP_0007,TESTED_IN
MOF_004,EXP_0008,TESTED_IN
MOF_004,EXP_0009,TESTED_IN
MOF_005,EXP_0010,TESTED_IN
MOF_005,EXP_0011,TESTED_IN
MOF_005,EXP_0012,TESTED_IN
MOF_006,EXP_0013,TESTED_IN
MOF_006,EXP_0014,TESTED_IN
MOF_006,EXP_0015,TESTED_IN
MOF_007,EXP_0016,TESTED_IN
MOF_007,EXP_0017,TESTED_IN
MOF_008,EXP_0018,TESTED_IN
MOF_008,EXP_0019,TESTED_IN
MOF_009,EXP_0020,TESTED_IN
MOF_009,EXP_0021,TESTED_IN
MOF_004,EXP_0022,TESTED_IN
MOF_010,EXP_0023,TESTED_IN
MOF_011,EXP_0024,TESTED_IN
MOF_012,EXP_0025,TESTED_IN
MOF_013,EXP_0026,TESTED_IN
MOF_014,EXP_0027,TESTED_IN
MOF_015,EXP_0028,TESTED_IN
MOF_015,EXP_0029,TESTED_IN
MOF_016,EXP_0030,TESTED_IN
MOF_017,EXP_0031,TESTED_IN
MOF_017,EXP_0032,TESTED_IN
MOF_018,EXP_0033,TESTED_IN
MOF_018,EXP_0034,TESTED_IN
MOF_019,EXP_0035,TESTED_IN
MOF_019,EXP_0036,TESTED_IN
MOF_020,EXP_0037,TESTED_IN
MOF_021,EXP_0038,TESTED_IN
MOF_022,EXP_0039,TESTED_IN
MOF_023,EXP_0040,TESTED_IN
MOF_004,EXP_0041,TESTED_IN
MOF_004,EXP_0042,TESTED_IN
MOF_004,EXP_0043,TESTED_IN
MOF_024,EXP_0044,TESTED_IN
MOF_025,EXP_0045,TESTED_IN
MOF_011,EXP_0046,TESTED_IN
MOF_026,EXP_0047,TESTED_IN
MOF_004,EXP_0048,TESTED_IN
MOF_004,EXP_0049,TESTED_IN
MOF_027,EXP_0050,TESTED_IN
MOF_027,EXP_0051,TESTED_IN
MOF_028,EXP_0052,TESTED_IN
MOF_028,EXP_0053,TESTED_IN
MOF_029,EXP_0054,TESTED_IN
MOF_029,EXP_0055,TESTED_IN
MOF_007,EXP_0056,TESTED_IN
MOF_007,EXP_0057,TESTED_IN
MOF_011,EXP_0058,TESTED_IN
MOF_011,EXP_0059,TESTED_IN
MOF_011,EXP_0060,TESTED_IN
MOF_011,EXP_0061,TESTED_IN
MOF_011,EXP_0062,TESTED_IN
MOF_011,EXP_0063,TESTED_IN
MOF_030,EXP_0064,TESTED_IN
MOF_030,EXP_0065,TESTED_IN
MOF_030,EXP_0066,TESTED_IN
MOF_030,EXP_0067,TESTED_IN
MOF_030,EXP_0068,TESTED_IN
MOF_030,EXP_0069,TESTED_IN
MOF_031,EXP_0070,TESTED_IN
MOF_031,EXP_0071,TESTED_IN
MOF_031,EXP_0072,TESTED_IN
MOF_031,EXP_0073,TESTED_IN
MOF_032,EXP_0074,TESTED_IN
MOF_032,EXP_0075,TESTED_IN
MOF_032,EXP_0076,TESTED_IN
MOF_032,EXP_0077,TESTED_IN
MOF_033,EXP_0078,TESTED_IN
MOF_033,EXP_0079,TESTED_IN
MOF_033,EXP_0080,TESTED_IN
MOF_033,EXP_0081,TESTED_IN
MOF_034,EXP_0082,TESTED_IN
MOF_035,EXP_0083,TESTED_IN
MOF_036,EXP_0084,TESTED_IN
MOF_037,EXP_0085,TESTED_IN
MOF_037,EXP_0086,TESTED_IN
MOF_004,EXP_0087,TESTED_IN
MOF_004,EXP_0088,TESTED_IN
MOF_004,EXP_0089,TESTED_IN
MOF_004,EXP_0090,TESTED_IN
MOF_004,EXP_0091,TESTED_IN
MOF_004,EXP_0092,TESTED_IN
MOF_004,EXP_0093,TESTED_IN
MOF_004,EXP_0094,TESTED_IN
MOF_004,EXP_0095,TESTED_IN
MOF_004,EXP_0096,TESTED_IN
MOF_004,EXP_0097,TESTED_IN
MOF_004,EXP_0098,TESTED_IN
MOF_007,EXP_0099,TESTED_IN
MOF_007,EXP_0100,TESTED_IN
MOF_007,EXP_0101,TESTED_IN
MOF_007,EXP_0102,TESTED_IN
MOF_007,EXP_0103,TESTED_IN
MOF_007,EXP_0104,TESTED_IN
MOF_007,EXP_0105,TESTED_IN
MOF_007,EXP_0106,TESTED_IN
MOF_007,EXP_0107,TESTED_IN
MOF_007,EXP_0108,TESTED_IN
MOF_007,EXP_0109,TESTED_IN
MOF_007,EXP_0110,TESTED_IN
MOF_038,EXP_0111,TESTED_IN
MOF_039,EXP_0112,TESTED_IN
MOF_040,EXP_0113,TESTED_IN
MOF_040,EXP_0114,TESTED_IN
MOF_041,EXP_0115,TESTED_IN
MOF_042,EXP_0116,TESTED_IN
MOF_042,EXP_0117,TESTED_IN
MOF_043,EXP_0118,TESTED_IN
MOF_043,EXP_0119,TESTED_IN
MOF_044,EXP_0120,TESTED_IN
MOF_044,EXP_0121,TESTED_IN
MOF_045,EXP_0122,TESTED_IN
MOF_011,EXP_0123,TESTED_IN
MOF_011,EXP_0124,TESTED_IN
MOF_011,EXP_0125,TESTED_IN
MOF_011,EXP_0126,TESTED_IN
MOF_011,EXP_0127,TESTED_IN
MOF_011,EXP_0128,TESTED_IN
MOF_014,EXP_0129,TESTED_IN
MOF_014,EXP_0130,TESTED_IN
MOF_014,EXP_0131,TESTED_IN
MOF_046,EXP_0132,TESTED_IN
MOF_004,EXP_0133,TESTED_IN
MOF_011,EXP_0134,TESTED_IN
MOF_011,EXP_0135,TESTED_IN
MOF_011,EXP_0136,TESTED_IN
MOF_011,EXP_0137,TESTED_IN
MOF_011,EXP_0138,TESTED_IN
MOF_011,EXP_0139,TESTED_IN
MOF_011,EXP_0140,TESTED_IN
MOF_011,EXP_0141,TESTED_IN
MOF_011,EXP_0142,TESTED_IN
MOF_011,EXP_0143,TESTED_IN
MOF_011,EXP_0144,TESTED_IN
MOF_011,EXP_0145,TESTED_IN
MOF_011,EXP_0146,TESTED_IN
MOF_047,EXP_0147,TESTED_IN
MOF_048,EXP_0148,TESTED_IN
MOF_049,EXP_0149,TESTED_IN
MOF_050,EXP_0150,TESTED_IN
MOF_051,EXP_0151,TESTED_IN
MOF_051,EXP_0152,TESTED_IN
MOF_051,EXP_0153,TESTED_IN
MOF_051,EXP_0154,TESTED_IN
MOF_051,EXP_0155,TESTED_IN
MOF_051,EXP_0156,TESTED_IN
MOF_052,EXP_0157,TESTED_IN
MOF_052,EXP_0158,TESTED_IN
MOF_038,EXP_0159,TESTED_IN
MOF_022,EXP_0160,TESTED_IN
MOF_022,EXP_0161,TESTED_IN
MOF_022,EXP_0162,TESTED_IN
MOF_022,EXP_0163,TESTED_IN
MOF_022,EXP_0164,TESTED_IN
MOF_022,EXP_0165,TESTED_IN
MOF_022,EXP_0166,TESTED_IN
MOF_022,EXP_0167,TESTED_IN
MOF_022,EXP_0168,TESTED_IN
MOF_022,EXP_0169,TESTED_IN
MOF_022,EXP_0170,TESTED_IN
MOF_022,EXP_0171,TESTED_IN
MOF_053,EXP_0172,TESTED_IN
MOF_054,EXP_0173,TESTED_IN
MOF_022,EXP_0174,TESTED_IN
MOF_022,EXP_0175,TESTED_IN
MOF_022,EXP_0176,TESTED_IN
MOF_022,EXP_0177,TESTED_IN
MOF_022,EXP_0178,TESTED_IN
MOF_022,EXP_0179,TESTED_IN
MOF_022,EXP_0180,TESTED_IN
MOF_022,EXP_0181,TESTED_IN
MOF_004,EXP_0182,TESTED_IN
MOF_004,EXP_0183,TESTED_IN
MOF_004,EXP_0184,TESTED_IN
MOF_004,EXP_0185,TESTED_IN
MOF_004,EXP_0186,TESTED_IN
MOF_004,EXP_0187,TESTED_IN
MOF_004,EXP_0188,TESTED_IN
MOF_004,EXP_0189,TESTED_IN
MOF_011,EXP_0190,TESTED_IN
MOF_011,EXP_0191,TESTED_IN
MOF_011,EXP_0192,TESTED_IN
MOF_011,EXP_0193,TESTED_IN
MOF_011,EXP_0194,TESTED_IN
MOF_011,EXP_0195,TESTED_IN
MOF_011,EXP_0196,TESTED_IN
