:START_ID,:END_ID,:TYPE
EXP_0001,EXP_0001,UNDER_CONDITIONS
EXP_0002,EXP_0002,UNDER_CONDITIONS
EXP_0003,EXP_0003,UNDER_CONDITIONS
EXP_0004,EXP_0004,UNDER_CONDITIONS
EXP_0005,EXP_0005,UNDER_CONDITIONS
EXP_0006,EXP_0006,UNDER_CONDITIONS
EXP_0007,EXP_0007,UNDER_CONDITIONS
EXP_0008,EXP_0008,UNDER_CONDITIONS
EXP_0009,EXP_0009,UNDER_CONDITIONS
EXP_0010,EXP_0010,UNDER_CONDITIONS
EXP_0011,EXP_0011,UNDER_CONDITIONS
EXP_0012,EXP_0012,UNDER_CONDITIONS
EXP_0013,EXP_0013,UNDER_CONDITIONS
EXP_0014,EXP_0014,UNDER_CONDITIONS
EXP_0015,EXP_0015,UNDER_CONDITIONS
EXP_0016,EXP_0016,UNDER_CONDITIONS
EXP_0017,EXP_0017,UNDER_CONDITIONS
EXP_0018,EXP_0018,UNDER_CONDITIONS
EXP_0019,EXP_0019,UNDER_CONDITIONS
EXP_0020,EXP_0020,UNDER_CONDITIONS
EXP_0021,EXP_0021,UNDER_CONDITIONS
EXP_0022,EXP_0022,UNDER_CONDITIONS
EXP_0023,EXP_0023,UNDER_CONDITIONS
EXP_0024,EXP_0024,UNDER_CONDITIONS
EXP_0025,EXP_0025,UNDER_CONDITIONS
EXP_0026,EXP_0026,UNDER_CONDITIONS
EXP_0027,EXP_0027,UNDER_CONDITIONS
EXP_0028,EXP_0028,UNDER_CONDITIONS
EXP_0029,EXP_0029,UNDER_CONDITIONS
EXP_0030,EXP_0030,UNDER_CONDITIONS
EXP_0031,EXP_0031,UNDER_CONDITIONS
EXP_0032,EXP_0032,UNDER_CONDITIONS
EXP_0033,EXP_0033,UNDER_CONDITIONS
EXP_0034,EXP_0034,UNDER_CONDITIONS
EXP_0035,EXP_0035,UNDER_CONDITIONS
EXP_0036,EXP_0036,UNDER_CONDITIONS
EXP_0037,EXP_0037,UNDER_CONDITIONS
EXP_0038,EXP_0038,UNDER_CONDITIONS
EXP_0039,EXP_0039,UNDER_CONDITIONS
EXP_0040,EXP_0040,UNDER_CONDITIONS
EXP_0041,EXP_0041,UNDER_CONDITIONS
EXP_0042,EXP_0042,UNDER_CONDITIONS
EXP_0043,EXP_0043,UNDER_CONDITIONS
EXP_0044,EXP_0044,UNDER_CONDITIONS
EXP_0045,EXP_0045,UNDER_CONDITIONS
EXP_0046,EXP_0046,UNDER_CONDITIONS
EXP_0047,EXP_0047,UNDER_CONDITIONS
EXP_0048,EXP_0048,UNDER_CONDITIONS
EXP_0049,EXP_0049,UNDER_CONDITIONS
EXP_0050,EXP_0050,UNDER_CONDITIONS
EXP_0051,EXP_0051,UNDER_CONDITIONS
