:START_ID,:END_ID,:TYPE
EXP_0001,MOF_001,USES_MOF
EXP_0002,MOF_002,USES_MOF
EXP_0003,MOF_002,USES_MOF
EXP_0004,MOF_002,USES_MOF
EXP_0005,MOF_003,USES_MOF
EXP_0006,MOF_003,USES_MOF
EXP_0007,MOF_004,USES_MOF
EXP_0008,MOF_004,USES_MOF
EXP_0009,MOF_004,USES_MOF
EXP_0010,MOF_005,USES_MOF
EXP_0011,MOF_005,USES_MOF
EXP_0012,MOF_005,USES_MOF
EXP_0013,MOF_006,USES_MOF
EXP_0014,MOF_006,USES_MOF
EXP_0015,MOF_006,USES_MOF
EXP_0016,MOF_007,USES_MOF
EXP_0017,MOF_007,USES_MOF
EXP_0018,MOF_008,USES_MOF
EXP_0019,MOF_008,USES_MOF
EXP_0020,MOF_009,USES_MOF
EXP_0021,MOF_009,USES_MOF
EXP_0022,MOF_004,USES_MOF
EXP_0023,MOF_010,USES_MOF
EXP_0024,MOF_011,USES_MOF
EXP_0025,MOF_012,USES_MOF
EXP_0026,MOF_013,USES_MOF
EXP_0027,MOF_014,USES_MOF
EXP_0028,MOF_015,USES_MOF
EXP_0029,MOF_015,USES_MOF
EXP_0030,MOF_016,USES_MOF
EXP_0031,MOF_017,USES_MOF
EXP_0032,MOF_017,USES_MOF
EXP_0033,MOF_018,USES_MOF
EXP_0034,MOF_018,USES_MOF
EXP_0035,MOF_019,USES_MOF
EXP_0036,MOF_019,USES_MOF
EXP_0037,MOF_020,USES_MOF
EXP_0038,MOF_021,USES_MOF
EXP_0039,MOF_022,USES_MOF
EXP_0040,MOF_023,USES_MOF
EXP_0041,MOF_004,USES_MOF
EXP_0042,MOF_004,USES_MOF
EXP_0043,MOF_004,USES_MOF
EXP_0044,MOF_024,USES_MOF
EXP_0045,MOF_025,USES_MOF
EXP_0046,MOF_011,USES_MOF
EXP_0047,MOF_026,USES_MOF
EXP_0048,MOF_004,USES_MOF
EXP_0049,MOF_004,USES_MOF
EXP_0050,MOF_027,USES_MOF
EXP_0051,MOF_027,USES_MOF
EXP_0052,MOF_028,USES_MOF
EXP_0053,MOF_028,USES_MOF
EXP_0054,MOF_029,USES_MOF
EXP_0055,MOF_029,USES_MOF
EXP_0056,MOF_007,USES_MOF
EXP_0057,MOF_007,USES_MOF
EXP_0058,MOF_011,USES_MOF
EXP_0059,MOF_011,USES_MOF
EXP_0060,MOF_011,USES_MOF
EXP_0061,MOF_011,USES_MOF
EXP_0062,MOF_011,USES_MOF
EXP_0063,MOF_011,USES_MOF
EXP_0064,MOF_030,USES_MOF
EXP_0065,MOF_030,USES_MOF
EXP_0066,MOF_030,USES_MOF
EXP_0067,MOF_030,USES_MOF
EXP_0068,MOF_030,USES_MOF
EXP_0069,MOF_030,USES_MOF
EXP_0070,MOF_031,USES_MOF
EXP_0071,MOF_031,USES_MOF
EXP_0072,MOF_031,USES_MOF
EXP_0073,MOF_031,USES_MOF
EXP_0074,MOF_032,USES_MOF
EXP_0075,MOF_032,USES_MOF
EXP_0076,MOF_032,USES_MOF
EXP_0077,MOF_032,USES_MOF
EXP_0078,MOF_033,USES_MOF
EXP_0079,MOF_033,USES_MOF
EXP_0080,MOF_033,USES_MOF
EXP_0081,MOF_033,USES_MOF
EXP_0082,MOF_034,USES_MOF
EXP_0083,MOF_035,USES_MOF
EXP_0084,MOF_036,USES_MOF
EXP_0085,MOF_037,USES_MOF
EXP_0086,MOF_037,USES_MOF
EXP_0087,MOF_004,USES_MOF
EXP_0088,MOF_004,USES_MOF
